City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,East London,ZA,2022-03-13 03:19:54,-33.0153,27.9116,77.94,65,0,10.36
67,Victoria,HK,2022-03-13 03:23:53,22.2855,114.1577,77.38,80,7,8.01
68,Skjervoy,NO,2022-03-13 03:22:13,70.0311,20.9714,37.99,68,100,12.95
69,Lukovetskiy,RU,2022-03-13 03:24:08,64.2956,41.9211,19.81,97,96,6.55
70,Thinadhoo,MV,2022-03-13 03:24:09,0.5333,72.9333,83.71,66,20,9.84
71,Bintulu,MY,2022-03-13 03:24:09,3.1667,113.0333,88.21,74,40,3.44
72,Tasiilaq,GL,2022-03-13 03:24:10,65.6145,-37.6368,30.36,96,100,12.08
73,Broken Hill,AU,2022-03-13 03:24:10,-31.95,141.4333,84.63,34,89,6.02
74,Hilo,US,2022-03-13 03:20:16,19.7297,-155.09,78.53,70,40,9.22
75,Coahuayana,MX,2022-03-13 03:24:11,18.7333,-103.6833,67.57,89,0,1.03
76,Cape Town,ZA,2022-03-13 03:23:55,-33.9258,18.4232,65.12,88,75,5.75
77,Vardo,NO,2022-03-13 03:24:12,70.3705,31.1107,30.02,81,89,3.85
78,Dingle,PH,2022-03-13 03:24:12,10.9995,122.6711,87.12,67,28,6.53
79,Krasnoselkup,RU,2022-03-13 03:24:12,65.7,82.4667,-10.97,98,73,9.22
80,Busselton,AU,2022-03-13 03:24:13,-33.65,115.3333,77.68,54,68,6.38
81,Aykhal,RU,2022-03-13 03:25:33,66.0,111.5,-8.14,91,93,0.98
82,Tual,ID,2022-03-13 03:25:34,-5.6667,132.75,83.37,75,65,1.36
83,Taoudenni,ML,2022-03-13 03:25:34,22.6783,-3.9836,69.12,14,0,8.23
84,Sendafa,ET,2022-03-13 03:25:34,9.15,39.0333,51.39,54,94,2.33
85,Lumby,CA,2022-03-13 03:25:35,50.2498,-118.969,37.18,93,100,2.3
86,Jinan,CN,2022-03-13 03:23:38,36.6683,116.9972,61.09,64,79,5.44
87,Mar Del Plata,AR,2022-03-13 03:25:35,-38.0023,-57.5575,62.1,78,0,3.44
88,Nioro,GM,2022-03-13 03:25:36,13.35,-15.75,77.7,21,6,1.16
89,Tadine,NC,2022-03-13 03:25:36,-21.55,167.8833,82.65,70,63,11.97
90,Antofagasta,CL,2022-03-13 03:24:52,-23.65,-70.4,63.68,81,29,5.39
91,Saldanha,ZA,2022-03-13 03:25:37,-33.0117,17.9442,57.25,85,89,4.85
92,Termoli,IT,2022-03-13 03:25:37,41.9888,14.9895,39.78,71,0,10.13
93,Yellowknife,CA,2022-03-13 03:25:38,62.456,-114.3525,-1.59,86,75,11.5
94,Svetlyy,RU,2022-03-13 03:25:38,54.675,20.1347,21.25,50,0,4.65
95,Kapaa,US,2022-03-13 03:25:39,22.0752,-159.319,80.58,71,40,12.66
96,Margate,GB,2022-03-13 03:21:57,51.3813,1.3862,47.3,81,100,8.01
97,Jaguaquara,BR,2022-03-13 03:25:39,-13.5306,-39.9708,64.06,99,27,2.75
98,Codrington,AU,2022-03-13 03:25:40,-38.2667,141.9667,78.6,37,4,8.16
