City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
471,Dryden,CA,23.29,overcast clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
476,Baruun-Urt,MN,24.84,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
478,Fort Frances,CA,26.82,overcast clouds,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
485,Erenhot,CN,37.71,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
486,Alihe,CN,26.49,snow,50.5667,123.7167,Alihe Forestry Hotel
490,Pavilosta,LV,35.51,broken clouds,56.8879,21.1859,"Hotel ""Vēju paradīze"""
491,Volax,GR,33.28,clear sky,41.3167,24.0,Monopati E6
503,Kastamonu,TR,24.82,overcast clouds,41.5,33.6667,Kasaba Orencik Koyu Muhtarligi
508,Jieznas,LT,33.39,scattered clouds,54.6,24.1667,Ustrone
518,Kotelnikovo,RU,31.86,light snow,47.6317,43.1461,Seven Kings Kotelnikovo
519,Atasu,KZ,21.34,overcast clouds,48.6814,71.6433,Dostyk
520,Kovdor,RU,26.11,overcast clouds,67.5662,30.4758,Derevo Zhelaniy
529,Zhengjiatun,CN,37.13,overcast clouds,43.5064,123.5064,Siping Hexiang Hotel
533,Kopavogur,IS,32.22,broken clouds,64.1123,-21.913,Fosshotel Baron
551,Turukhansk,RU,12.4,light snow,65.8167,87.9833,"ООО ""Туруханская пушнина"""
567,Kirishi,RU,31.21,broken clouds,59.4471,32.0205,Sputnik
568,Grande Prairie,CA,26.78,broken clouds,55.1667,-118.8027,"Holiday Inn Express Grande Prairie, an IHG Hotel"
572,Nordby,DK,39.43,fog,55.446,8.3979,Hotel Britannia
590,Mezen,RU,16.97,broken clouds,65.8522,44.24,Gostevoy Dom Everest
599,Ust-Ilimsk,RU,9.07,overcast clouds,58.0006,102.6619,AleNat Center
603,Kaharlyk,UA,36.81,clear sky,49.8623,30.8282,Кагарлик Гостиница
604,Homer,US,32.81,clear sky,59.6425,-151.5483,Beluga Lake Lodge
619,Rovaniemi,FI,17.01,fog,66.5,25.7167,Arctic City Hotel
622,Novi Pazar,RS,35.58,scattered clouds,43.1367,20.5122,Hotel Tadž
625,The Pas,CA,8.62,overcast clouds,53.8251,-101.2541,Wescana Inn
627,Chumikan,RU,18.91,overcast clouds,54.7183,135.315,Fortuna
645,Nemuro,JP,31.35,snow,43.3236,145.575,Hotel Nemuro Kaiyoutei
646,Sioux Lookout,CA,19.47,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
650,Kargasok,RU,10.27,broken clouds,59.0556,80.8572,Hotel Kargasok
657,Laukaa,RU,31.5,overcast clouds,58.7372,29.8453,U Lysoy Gory Hotel
659,Krasnoselkup,RU,14.74,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
663,Havoysund,NO,38.95,broken clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
665,Zhanaozen,KZ,35.2,overcast clouds,43.3,52.8,K.korabay 28A
672,Havre-Saint-Pierre,CA,24.8,broken clouds,50.2334,-63.5986,Auberge Niapiskau
677,La Ronge,CA,12.45,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
678,Zakamensk,RU,13.96,overcast clouds,50.3741,103.2863,Gostinitsa Zakamna
698,Lentvaris,LT,36.1,clear sky,54.65,25.05,Tvirtove prie Didziulio
702,Channel-Port Aux Basques,CA,30.4,overcast clouds,47.5702,-59.1367,St. Christopher's Hotel
705,Khani,GE,27.97,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
708,Karabulak,RU,34.79,few clouds,43.3036,44.8964,"Baza Otdykha ""Russkaya Banya"""
709,Recea,RO,33.71,clear sky,47.6333,23.5167,Seneca Hotel
714,Skjervoy,NO,39.2,overcast clouds,70.0311,20.9714,Skjervøy fiskecamp AS
715,Genhe,CN,17.49,light snow,50.7833,121.5167,Companionship Hotel
720,Tatarskaya Pishlya,RU,16.65,overcast clouds,54.0608,44.8998,"Luksor, Kvartirnoye Byuro"
