City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
59,Faanui,-16.4833,-151.75,81.81,71,100,11.9,PF,overcast clouds,2022-03-15 07:23:48
60,Paamiut,61.994,-49.6678,7.14,87,100,16.44,GL,light snow,2022-03-15 07:23:48
61,Puerto Ayora,-0.7393,-90.3518,74.55,96,50,1.01,EC,scattered clouds,2022-03-15 07:20:20
62,Upernavik,72.7868,-56.1549,-4.07,92,100,30.44,GL,light snow,2022-03-15 07:23:49
63,Castro,-24.7911,-50.0119,62.96,99,100,4.54,BR,overcast clouds,2022-03-15 07:19:16
64,Yanam,16.7333,82.2167,98.22,25,70,6.2,IN,broken clouds,2022-03-15 07:23:49
65,Salalah,17.0151,54.0924,86.09,45,0,9.22,OM,clear sky,2022-03-15 07:23:50
66,Merauke,-8.4667,140.3333,81.48,80,100,1.7,ID,moderate rain,2022-03-15 07:23:50
67,Urucara,-2.5364,-57.76,70.97,99,100,0.34,BR,light rain,2022-03-15 07:23:51
68,Shache,38.4167,77.2406,72.43,15,7,3.89,CN,clear sky,2022-03-15 07:23:51
69,Clyde River,70.4692,-68.5914,-7.37,77,100,6.91,CA,light snow,2022-03-15 07:23:52
70,Bom Jardim,-7.7958,-35.5872,72.66,94,38,2.46,BR,scattered clouds,2022-03-15 07:23:52
71,Puri,19.8,85.85,97.32,41,6,9.31,IN,clear sky,2022-03-15 07:20:22
72,Airai,-8.9266,125.4092,71.89,74,100,4.21,TL,overcast clouds,2022-03-15 07:23:52
73,Butaritari,3.0707,172.7902,81.48,72,87,17.22,KI,overcast clouds,2022-03-15 07:23:53
74,Cairns,-16.9167,145.7667,77.07,100,75,17.27,AU,heavy intensity rain,2022-03-15 07:19:20
75,Veraval,20.9,70.3667,88.23,41,5,11.23,IN,clear sky,2022-03-15 07:23:53
76,Zhicheng,30.2956,111.5047,85.78,38,5,7.85,CN,clear sky,2022-03-15 07:23:54
77,Tateyama,34.9833,139.8667,64.81,54,0,9.75,JP,clear sky,2022-03-15 07:23:54
78,Astana,51.1801,71.446,15.75,79,100,11.18,KZ,overcast clouds,2022-03-15 07:23:55
